body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2863.160200000
10005,10005,0,0,0,ok,ok,2958.486500000
10005,10005,0,0,0,ok,ok,2868.177800000
10005,10005,0,0,0,ok,ok,2749.778100000
10005,10005,0,0,0,ok,ok,2841.898200000
10005,10005,0,0,0,ok,ok,2799.230100000
10005,10005,0,0,0,ok,ok,2866.663000000
10005,10005,0,0,0,ok,ok,2795.139400000
10005,10005,0,0,0,ok,ok,2897.254500000
10005,10005,0,0,0,ok,ok,2856.195600000
