body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,8,ok,ok,300,8461.290100000
10005,10005,0,0,8,ok,ok,300,8458.804400000
10005,10005,0,0,8,ok,ok,300,8454.062600000
10005,10005,0,0,8,ok,ok,300,8465.043000000
10005,10005,0,0,8,ok,ok,300,8445.830100000
10005,10005,0,0,8,ok,ok,300,8401.654100000
10005,10005,0,0,8,ok,ok,300,8380.842900000
10005,10005,0,0,8,ok,ok,300,8482.693400000
10005,10005,0,0,8,ok,ok,300,8779.423700000
10005,10005,0,0,8,ok,ok,300,8457.934400000
