body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,16,15,1174.822400000
10005,10005,0,0,0,ok,ok,16,15,1175.500300000
10005,10005,0,0,0,ok,ok,16,15,1178.028800000
10005,10005,0,0,0,ok,ok,16,15,1173.608200000
10005,10005,0,0,0,ok,ok,16,15,1176.362000000
10005,10005,0,0,0,ok,ok,16,15,1175.308200000
10005,10005,0,0,0,ok,ok,16,15,1180.521200000
10005,10005,0,0,0,ok,ok,16,15,1165.878500000
10005,10005,0,0,0,ok,ok,16,15,1178.127900000
10005,10005,0,0,0,ok,ok,16,15,1179.682700000
