body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,300,3174.758900000
10005,10005,0,0,0,ok,ok,300,3321.627900000
10005,10005,0,0,0,ok,ok,300,3202.758600000
10005,10005,0,0,0,ok,ok,300,3328.809600000
10005,10005,0,0,0,ok,ok,300,3368.368800000
10005,10005,0,0,0,ok,ok,300,3185.557700000
10005,10005,0,0,0,ok,ok,300,3213.490800000
10005,10005,0,0,0,ok,ok,300,3194.596800000
10005,10005,0,0,0,ok,ok,300,3364.118600000
10005,10005,0,0,0,ok,ok,300,3350.143100000
