body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,16,16,300,5337.366400000
10005,10005,0,0,19,ok,ok,16,16,300,5394.825300000
10005,10005,0,0,19,ok,ok,16,16,300,5284.460000000
10005,10005,0,0,19,ok,ok,16,16,300,5329.698200000
10005,10005,0,0,19,ok,ok,16,16,300,5323.051800000
10005,10005,0,0,19,ok,ok,16,16,300,5329.963300000
10005,10005,0,0,19,ok,ok,16,16,300,5330.265100000
10005,10005,0,0,19,ok,ok,16,16,300,5319.255300000
10005,10005,0,0,19,ok,ok,16,16,300,5300.411600000
10005,10005,0,0,19,ok,ok,16,16,300,5343.456000000
