body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,5229.310600000
10005,10005,0,0,0,ok,ok,5181.204200000
10005,10005,0,0,0,ok,ok,5137.671700000
10005,10005,0,0,0,ok,ok,5223.260900000
10005,10005,0,0,0,ok,ok,4953.709000000
10005,10005,0,0,0,ok,ok,5206.151900000
10005,10005,0,0,0,ok,ok,5072.224700000
10005,10005,0,0,0,ok,ok,5044.884400000
10005,10005,0,0,0,ok,ok,5174.999900000
10005,10005,0,0,0,ok,ok,5123.017100000
