run_id,engine_id,engine_ref,host_route,toolchain_id,case_id,benchmark_mode,thread_count,step_count,warmup_steps,repeat_index,body_count,shape_count,query_count,ms_per_step,steps_per_second,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,runtime_route,timing_scope,effective_thread_count,sleeping_status,fixture_semantic,fixture_version,static_box_count,physics_settings,build_settings,requested_thread_count,requested_worker_count,requested_taskgraph_worker_count,actual_taskgraph_worker_count,effective_worker_count,main_thread_participates,unity_editor_version,unity_physics_package_version,entities_package_version,burst_package_version,collections_package_version,build_target,backend,burst_enabled_state,safety_check_state,package_lock_sha256,completed_step_count,physics_elapsed_ms,render_elapsed_ms,present_wait_ms,visual_validation_status,proof_path,raw_path
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,0,10005,10005,0,17.791221333,56.207495892,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5337.366400000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,1,10005,10005,0,17.982751000,55.608844275,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5394.825300000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,2,10005,10005,0,17.614866667,56.770228178,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5284.460000000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,3,10005,10005,0,17.765660667,56.288365446,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5329.698200000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,4,10005,10005,0,17.743506000,56.358647496,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5323.051800000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,5,10005,10005,0,17.766544333,56.285565794,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5329.963300000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,6,10005,10005,0,17.767550333,56.282378901,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5330.265100000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,7,10005,10005,0,17.730851000,56.398872226,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5319.255300000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,8,10005,10005,0,17.668038667,56.599378056,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5300.411600000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10,avian3d,fc99fdcdbff804fbbe6dc1eb7fc4137e677853d2,windows,rust_1_95_msvc_cargo_release,box_container_pile_10k,headless_api,16,300,30,9,10005,10005,0,17.811520000,56.143439751,0,0,19,ok,ok,avian3d_polygon_runner,bevy_physics_schedule,16,disabled,open_container_falling_pile,avian3d_open_container_v1,5,substeps=4; sleep=disabled; solver_defaults=avian,"Rust 1.95 Cargo release; Avian3D 0.8.0-dev; Bevy 0.19.0; features 3d,f32,parry-f32,parallel,simd",16,16,,,16,yes,,,,,,,,,,,300,5343.456000000,,,,,results/box-container-pile-10k/intel-core-i7-13700k/2026-07-09_0112_ddr5-4800_threads-1-2-3-4-5-6-8-16-24_r10/raw/avian3d/t16/avian3d_t16_raw.csv
