body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,113,ok,ok,6,6,4745.489900000
10005,10005,0,0,113,ok,ok,6,6,4741.045700000
10005,10005,0,0,113,ok,ok,6,6,4794.933900000
10005,10005,0,0,113,ok,ok,6,6,4830.764100000
10005,10005,0,0,113,ok,ok,6,6,4808.679600000
10005,10005,0,0,113,ok,ok,6,6,4848.844900000
10005,10005,0,0,113,ok,ok,6,6,4808.690000000
10005,10005,0,0,113,ok,ok,6,6,4852.275000000
10005,10005,0,0,113,ok,ok,6,6,4827.201500000
10005,10005,0,0,113,ok,ok,6,6,4847.590800000
