body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,11,ok,ok,300,4589.593700000
10005,10005,0,0,11,ok,ok,300,4668.399700000
10005,10005,0,0,11,ok,ok,300,4731.141300000
10005,10005,0,0,11,ok,ok,300,4290.375600000
10005,10005,0,0,11,ok,ok,300,4624.244500000
10005,10005,0,0,11,ok,ok,300,4849.961000000
10005,10005,0,0,11,ok,ok,300,4420.559900000
10005,10005,0,0,11,ok,ok,300,4668.415700000
10005,10005,0,0,11,ok,ok,300,4402.932000000
10005,10005,0,0,11,ok,ok,300,4566.360600000
