body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2305.958400000
10005,10005,0,0,0,ok,ok,2279.026700000
10005,10005,0,0,0,ok,ok,2272.363800000
10005,10005,0,0,0,ok,ok,2276.331700000
10005,10005,0,0,0,ok,ok,2327.126800000
10005,10005,0,0,0,ok,ok,2269.486800000
10005,10005,0,0,0,ok,ok,2275.545300000
10005,10005,0,0,0,ok,ok,2259.146500000
10005,10005,0,0,0,ok,ok,2284.708000000
10005,10005,0,0,0,ok,ok,2279.127600000
