body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,24,23,1083.791800000
10005,10005,0,0,0,ok,ok,24,23,1082.545600000
10005,10005,0,0,0,ok,ok,24,23,1088.550100000
10005,10005,0,0,0,ok,ok,24,23,1089.381500000
10005,10005,0,0,0,ok,ok,24,23,1087.807300000
10005,10005,0,0,0,ok,ok,24,23,1089.745700000
10005,10005,0,0,0,ok,ok,24,23,1077.146200000
10005,10005,0,0,0,ok,ok,24,23,1075.795400000
10005,10005,0,0,0,ok,ok,24,23,1085.953200000
10005,10005,0,0,0,ok,ok,24,23,1078.724000000
