body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2070.449500000
10005,10005,0,0,0,ok,ok,1987.342100000
10005,10005,0,0,0,ok,ok,1891.144300000
10005,10005,0,0,0,ok,ok,1996.718300000
10005,10005,0,0,0,ok,ok,2105.409900000
10005,10005,0,0,0,ok,ok,2078.062200000
10005,10005,0,0,0,ok,ok,1877.696200000
10005,10005,0,0,0,ok,ok,1872.355300000
10005,10005,0,0,0,ok,ok,1996.291600000
10005,10005,0,0,0,ok,ok,1870.122800000
