body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,11,ok,ok,300,3355.859700000
10005,10005,0,0,11,ok,ok,300,3328.626100000
10005,10005,0,0,11,ok,ok,300,3293.261600000
10005,10005,0,0,11,ok,ok,300,3278.529900000
10005,10005,0,0,11,ok,ok,300,3306.303400000
10005,10005,0,0,11,ok,ok,300,3305.405600000
10005,10005,0,0,11,ok,ok,300,3207.718400000
10005,10005,0,0,11,ok,ok,300,3340.713600000
10005,10005,0,0,11,ok,ok,300,3348.458900000
10005,10005,0,0,11,ok,ok,300,3345.351000000
