body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,113,ok,ok,4,4,5019.348000000
10005,10005,0,0,113,ok,ok,4,4,5004.644300000
10005,10005,0,0,113,ok,ok,4,4,4980.162600000
10005,10005,0,0,113,ok,ok,4,4,5117.237700000
10005,10005,0,0,113,ok,ok,4,4,5080.801200000
10005,10005,0,0,113,ok,ok,4,4,5087.137400000
10005,10005,0,0,113,ok,ok,4,4,5262.358400000
10005,10005,0,0,113,ok,ok,4,4,5076.399400000
10005,10005,0,0,113,ok,ok,4,4,5108.877500000
10005,10005,0,0,113,ok,ok,4,4,5100.586800000
