body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,8,ok,ok,300,4470.460200000
10005,10005,0,0,8,ok,ok,300,4610.006100000
10005,10005,0,0,8,ok,ok,300,4547.692400000
10005,10005,0,0,8,ok,ok,300,4436.427200000
10005,10005,0,0,8,ok,ok,300,4436.476000000
10005,10005,0,0,8,ok,ok,300,4530.268500000
10005,10005,0,0,8,ok,ok,300,4419.962400000
10005,10005,0,0,8,ok,ok,300,4526.843900000
10005,10005,0,0,8,ok,ok,300,4454.102100000
10005,10005,0,0,8,ok,ok,300,4466.685800000
