body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,4,4,300,7865.500500000
10005,10005,0,0,19,ok,ok,4,4,300,8005.961400000
10005,10005,0,0,19,ok,ok,4,4,300,7908.403500000
10005,10005,0,0,19,ok,ok,4,4,300,7922.922700000
10005,10005,0,0,19,ok,ok,4,4,300,7900.790900000
10005,10005,0,0,19,ok,ok,4,4,300,7854.398700000
10005,10005,0,0,19,ok,ok,4,4,300,7984.707400000
10005,10005,0,0,19,ok,ok,4,4,300,8077.343900000
10005,10005,0,0,19,ok,ok,4,4,300,8014.839100000
10005,10005,0,0,19,ok,ok,4,4,300,7899.962800000
