body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2021.782200000
10005,10005,0,0,0,ok,ok,1919.986000000
10005,10005,0,0,0,ok,ok,1894.553700000
10005,10005,0,0,0,ok,ok,1910.099900000
10005,10005,0,0,0,ok,ok,2330.162000000
10005,10005,0,0,0,ok,ok,2025.612000000
10005,10005,0,0,0,ok,ok,2089.705200000
10005,10005,0,0,0,ok,ok,1886.532700000
10005,10005,0,0,0,ok,ok,1964.295400000
10005,10005,0,0,0,ok,ok,2070.555900000
