body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,9,ok,ok,300,10857.843600000
10005,10005,0,0,9,ok,ok,300,10757.713900000
10005,10005,0,0,9,ok,ok,300,10714.394800000
10005,10005,0,0,9,ok,ok,300,10214.758900000
10005,10005,0,0,9,ok,ok,300,10228.820600000
10005,10005,0,0,9,ok,ok,300,10447.482500000
10005,10005,0,0,9,ok,ok,300,10782.707100000
10005,10005,0,0,9,ok,ok,300,10831.391000000
10005,10005,0,0,9,ok,ok,300,10588.042800000
10005,10005,0,0,9,ok,ok,300,10646.673800000
