body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,300,9763.801600000
10005,10005,0,0,0,ok,ok,300,9576.624500000
10005,10005,0,0,0,ok,ok,300,9946.367400000
10005,10005,0,0,0,ok,ok,300,10044.201500000
10005,10005,0,0,0,ok,ok,300,10208.028500000
10005,10005,0,0,0,ok,ok,300,9678.411600000
10005,10005,0,0,0,ok,ok,300,9619.975700000
10005,10005,0,0,0,ok,ok,300,9626.843100000
10005,10005,0,0,0,ok,ok,300,9907.373800000
10005,10005,0,0,0,ok,ok,300,9869.480800000
