body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,300,6509.577800000
10005,10005,0,0,0,ok,ok,300,6474.499600000
10005,10005,0,0,0,ok,ok,300,6508.364000000
10005,10005,0,0,0,ok,ok,300,6501.379600000
10005,10005,0,0,0,ok,ok,300,6481.981700000
10005,10005,0,0,0,ok,ok,300,6642.218800000
10005,10005,0,0,0,ok,ok,300,6528.952100000
10005,10005,0,0,0,ok,ok,300,6514.712200000
10005,10005,0,0,0,ok,ok,300,6475.983400000
10005,10005,0,0,0,ok,ok,300,6538.319200000
