body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,3242.415700000
10005,10005,0,0,0,ok,ok,3346.301700000
10005,10005,0,0,0,ok,ok,3372.014700000
10005,10005,0,0,0,ok,ok,3207.880500000
10005,10005,0,0,0,ok,ok,3267.525500000
10005,10005,0,0,0,ok,ok,3331.590400000
10005,10005,0,0,0,ok,ok,3361.039500000
10005,10005,0,0,0,ok,ok,3305.220600000
10005,10005,0,0,0,ok,ok,3268.656000000
10005,10005,0,0,0,ok,ok,3354.153400000
