body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2248.602900000
10005,10005,0,0,0,ok,ok,2217.650100000
10005,10005,0,0,0,ok,ok,2182.961800000
10005,10005,0,0,0,ok,ok,2188.977100000
10005,10005,0,0,0,ok,ok,1993.435600000
10005,10005,0,0,0,ok,ok,2240.008300000
10005,10005,0,0,0,ok,ok,1962.362400000
10005,10005,0,0,0,ok,ok,2296.269300000
10005,10005,0,0,0,ok,ok,2191.922600000
10005,10005,0,0,0,ok,ok,2193.913700000
