body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,3,3,300,9858.557900000
10005,10005,0,0,19,ok,ok,3,3,300,9887.418500000
10005,10005,0,0,19,ok,ok,3,3,300,9927.255900000
10005,10005,0,0,19,ok,ok,3,3,300,9786.354000000
10005,10005,0,0,19,ok,ok,3,3,300,9788.915500000
10005,10005,0,0,19,ok,ok,3,3,300,9780.702500000
10005,10005,0,0,19,ok,ok,3,3,300,9803.704700000
10005,10005,0,0,19,ok,ok,3,3,300,9712.504600000
10005,10005,0,0,19,ok,ok,3,3,300,9750.207500000
10005,10005,0,0,19,ok,ok,3,3,300,9691.706300000
