body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,2,ok,ok,300,6557.918900000
10005,10005,0,0,2,ok,ok,300,6595.778100000
10005,10005,0,0,2,ok,ok,300,6909.373400000
10005,10005,0,0,2,ok,ok,300,7039.652900000
10005,10005,0,0,2,ok,ok,300,6720.727300000
10005,10005,0,0,2,ok,ok,300,6719.212300000
10005,10005,0,0,2,ok,ok,300,6589.039200000
10005,10005,0,0,2,ok,ok,300,6595.129300000
10005,10005,0,0,2,ok,ok,300,6571.562700000
10005,10005,0,0,2,ok,ok,300,6579.217200000
