body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2544.710400000
10005,10005,0,0,0,ok,ok,2571.772200000
10005,10005,0,0,0,ok,ok,2609.506100000
10005,10005,0,0,0,ok,ok,2547.086200000
10005,10005,0,0,0,ok,ok,2546.149900000
10005,10005,0,0,0,ok,ok,2538.372400000
10005,10005,0,0,0,ok,ok,2573.625200000
10005,10005,0,0,0,ok,ok,2550.466400000
10005,10005,0,0,0,ok,ok,2582.404500000
10005,10005,0,0,0,ok,ok,2539.402100000
