body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,2,2,300,13138.086200000
10005,10005,0,0,19,ok,ok,2,2,300,13187.413700000
10005,10005,0,0,19,ok,ok,2,2,300,13038.876800000
10005,10005,0,0,19,ok,ok,2,2,300,12955.165000000
10005,10005,0,0,19,ok,ok,2,2,300,13108.058200000
10005,10005,0,0,19,ok,ok,2,2,300,13153.857500000
10005,10005,0,0,19,ok,ok,2,2,300,13110.038400000
10005,10005,0,0,19,ok,ok,2,2,300,13026.942700000
10005,10005,0,0,19,ok,ok,2,2,300,13419.382600000
10005,10005,0,0,19,ok,ok,2,2,300,14313.423300000
