run_id,engine_id,case_id,benchmark_mode,thread_count,repeat_count,warmup_steps,physics_settings,build_settings,min_ms_per_step,mean_ms_per_step,median_ms_per_step,max_steps_per_second,mean_steps_per_second,body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,1,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,1052.086261000,1052.086261000,1052.086261000,0.950492405,0.950492405,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,3,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,1051.411587667,1051.411587667,1051.411587667,0.951102320,0.951102320,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,4,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,951.364035000,951.364035000,951.364035000,1.051122350,1.051122350,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,5,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,857.891686000,857.891686000,857.891686000,1.165648317,1.165648317,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,6,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,791.965435000,791.965435000,791.965435000,1.262681369,1.262681369,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,8,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,704.659792333,704.659792333,704.659792333,1.419124535,1.419124535,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,16,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,615.893572000,615.893572000,615.893572000,1.623657147,1.623657147,10005,10005,0,0,19
2026-07-09_1700_ddr5-4800_threads-1-3-4-5-6-8-16-24_r1,unreal_chaos,box_container_pile_10k,headless_api,24,1,30,"solver_iterations=4,1; projection_iterations=1; sleep=disabled",Unreal Engine release branch Chaos Program target; Win64 Shipping,581.246068333,581.246068333,581.246068333,1.720441745,1.720441745,10005,10005,0,0,19
