body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,113,ok,ok,24,24,4543.369300000
10005,10005,0,0,113,ok,ok,24,24,4530.812600000
10005,10005,0,0,113,ok,ok,24,24,4536.929700000
10005,10005,0,0,113,ok,ok,24,24,4528.587100000
10005,10005,0,0,113,ok,ok,24,24,4524.666100000
10005,10005,0,0,113,ok,ok,24,24,4523.161100000
10005,10005,0,0,113,ok,ok,24,24,4543.506100000
10005,10005,0,0,113,ok,ok,24,24,4544.156700000
10005,10005,0,0,113,ok,ok,24,24,4476.014000000
10005,10005,0,0,113,ok,ok,24,24,4510.163600000
