body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,1,1,300,22499.849900000
10005,10005,0,0,19,ok,ok,1,1,300,22181.121200000
10005,10005,0,0,19,ok,ok,1,1,300,22054.811500000
10005,10005,0,0,19,ok,ok,1,1,300,22643.400700000
10005,10005,0,0,19,ok,ok,1,1,300,22253.876500000
10005,10005,0,0,19,ok,ok,1,1,300,22491.659500000
10005,10005,0,0,19,ok,ok,1,1,300,22050.067200000
10005,10005,0,0,19,ok,ok,1,1,300,21990.899400000
10005,10005,0,0,19,ok,ok,1,1,300,22631.832600000
10005,10005,0,0,19,ok,ok,1,1,300,22297.333100000
