body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,8,8,300,5616.640200000
10005,10005,0,0,19,ok,ok,8,8,300,5740.591900000
10005,10005,0,0,19,ok,ok,8,8,300,5715.475400000
10005,10005,0,0,19,ok,ok,8,8,300,5607.370000000
10005,10005,0,0,19,ok,ok,8,8,300,5544.830900000
10005,10005,0,0,19,ok,ok,8,8,300,5819.941900000
10005,10005,0,0,19,ok,ok,8,8,300,5678.772900000
10005,10005,0,0,19,ok,ok,8,8,300,5678.777900000
10005,10005,0,0,19,ok,ok,8,8,300,5594.050200000
10005,10005,0,0,19,ok,ok,8,8,300,5529.801000000
