body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,24,24,300,5253.914300000
10005,10005,0,0,19,ok,ok,24,24,300,5286.236400000
10005,10005,0,0,19,ok,ok,24,24,300,5278.948600000
10005,10005,0,0,19,ok,ok,24,24,300,5146.384800000
10005,10005,0,0,19,ok,ok,24,24,300,5203.523700000
10005,10005,0,0,19,ok,ok,24,24,300,5230.524000000
10005,10005,0,0,19,ok,ok,24,24,300,5250.905100000
10005,10005,0,0,19,ok,ok,24,24,300,5284.462400000
10005,10005,0,0,19,ok,ok,24,24,300,5199.947100000
10005,10005,0,0,19,ok,ok,24,24,300,5244.247700000
