body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,300,1433.308500000
10005,10005,0,0,0,ok,ok,300,1435.684000000
10005,10005,0,0,0,ok,ok,300,1434.694300000
10005,10005,0,0,0,ok,ok,300,1437.003600000
10005,10005,0,0,0,ok,ok,300,1442.991200000
10005,10005,0,0,0,ok,ok,300,1428.761500000
10005,10005,0,0,0,ok,ok,300,1437.915600000
10005,10005,0,0,0,ok,ok,300,1447.544800000
10005,10005,0,0,0,ok,ok,300,1439.667100000
10005,10005,0,0,0,ok,ok,300,1443.068900000
