body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,completed_step_count,physics_elapsed_ms
10005,10005,0,0,19,ok,ok,6,6,300,6352.781300000
10005,10005,0,0,19,ok,ok,6,6,300,6414.120200000
10005,10005,0,0,19,ok,ok,6,6,300,6510.803700000
10005,10005,0,0,19,ok,ok,6,6,300,6811.329200000
10005,10005,0,0,19,ok,ok,6,6,300,6367.560800000
10005,10005,0,0,19,ok,ok,6,6,300,6399.758300000
10005,10005,0,0,19,ok,ok,6,6,300,6396.713100000
10005,10005,0,0,19,ok,ok,6,6,300,6351.415400000
10005,10005,0,0,19,ok,ok,6,6,300,6486.871400000
10005,10005,0,0,19,ok,ok,6,6,300,6415.764800000
