body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,300,1952.240300000
10005,10005,0,0,0,ok,ok,300,1980.243900000
10005,10005,0,0,0,ok,ok,300,1945.847300000
10005,10005,0,0,0,ok,ok,300,1967.135100000
10005,10005,0,0,0,ok,ok,300,1958.745700000
10005,10005,0,0,0,ok,ok,300,1991.072100000
10005,10005,0,0,0,ok,ok,300,1964.380300000
10005,10005,0,0,0,ok,ok,300,1954.733800000
10005,10005,0,0,0,ok,ok,300,1945.030800000
10005,10005,0,0,0,ok,ok,300,1939.196000000
