body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,300,17962.150400000
10005,10005,0,0,0,ok,ok,300,17976.816300000
10005,10005,0,0,0,ok,ok,300,17659.815000000
10005,10005,0,0,0,ok,ok,300,17639.253800000
10005,10005,0,0,0,ok,ok,300,17659.771500000
10005,10005,0,0,0,ok,ok,300,17570.598600000
10005,10005,0,0,0,ok,ok,300,17413.406100000
10005,10005,0,0,0,ok,ok,300,17559.769700000
10005,10005,0,0,0,ok,ok,300,17181.835300000
10005,10005,0,0,0,ok,ok,300,16690.324000000
