body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,2,ok,ok,300,4417.840300000
10005,10005,0,0,2,ok,ok,300,4406.779200000
10005,10005,0,0,2,ok,ok,300,4440.104400000
10005,10005,0,0,2,ok,ok,300,4398.138400000
10005,10005,0,0,2,ok,ok,300,4377.920300000
10005,10005,0,0,2,ok,ok,300,4273.940100000
10005,10005,0,0,2,ok,ok,300,4277.767500000
10005,10005,0,0,2,ok,ok,300,4385.259100000
10005,10005,0,0,2,ok,ok,300,4360.647200000
10005,10005,0,0,2,ok,ok,300,4338.571200000
