body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,completed_step_count,physics_elapsed_ms
10005,10005,0,0,11,ok,ok,300,4098.362500000
10005,10005,0,0,11,ok,ok,300,4128.051900000
10005,10005,0,0,11,ok,ok,300,4133.550600000
10005,10005,0,0,11,ok,ok,300,4234.237900000
10005,10005,0,0,11,ok,ok,300,4335.450900000
10005,10005,0,0,11,ok,ok,300,4305.839100000
10005,10005,0,0,11,ok,ok,300,4270.348400000
10005,10005,0,0,11,ok,ok,300,4299.768600000
10005,10005,0,0,11,ok,ok,300,4285.122900000
10005,10005,0,0,11,ok,ok,300,4116.706500000
