body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,physics_elapsed_ms
10005,10005,0,0,0,ok,ok,2303.252900000
10005,10005,0,0,0,ok,ok,1832.085500000
10005,10005,0,0,0,ok,ok,1792.221700000
10005,10005,0,0,0,ok,ok,1815.346400000
10005,10005,0,0,0,ok,ok,1899.500200000
10005,10005,0,0,0,ok,ok,1930.192400000
10005,10005,0,0,0,ok,ok,1793.336200000
10005,10005,0,0,0,ok,ok,1895.712400000
10005,10005,0,0,0,ok,ok,1790.547600000
10005,10005,0,0,0,ok,ok,1790.357400000
