body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,113,ok,ok,16,16,4867.488300000
10005,10005,0,0,113,ok,ok,16,16,4749.521000000
10005,10005,0,0,113,ok,ok,16,16,4649.917200000
10005,10005,0,0,113,ok,ok,16,16,4698.468600000
10005,10005,0,0,113,ok,ok,16,16,4701.142400000
10005,10005,0,0,113,ok,ok,16,16,4650.124200000
10005,10005,0,0,113,ok,ok,16,16,4652.129500000
10005,10005,0,0,113,ok,ok,16,16,4655.418400000
10005,10005,0,0,113,ok,ok,16,16,4588.625300000
10005,10005,0,0,113,ok,ok,16,16,4715.750200000
