body_count,shape_count,invalid_transform_count,below_floor_count,out_of_bounds_count,case_status,metric_status,effective_thread_count,effective_worker_count,physics_elapsed_ms
10005,10005,0,0,113,ok,ok,5,5,5036.973800000
10005,10005,0,0,113,ok,ok,5,5,4913.077600000
10005,10005,0,0,113,ok,ok,5,5,4890.153400000
10005,10005,0,0,113,ok,ok,5,5,4955.197600000
10005,10005,0,0,113,ok,ok,5,5,4959.005500000
10005,10005,0,0,113,ok,ok,5,5,4861.919200000
10005,10005,0,0,113,ok,ok,5,5,4958.899100000
10005,10005,0,0,113,ok,ok,5,5,4967.613800000
10005,10005,0,0,113,ok,ok,5,5,4983.849000000
10005,10005,0,0,113,ok,ok,5,5,4959.498300000
